INFO 2023-12-23 14:30:59,938 - Sair Success
INFO 2023-12-23 14:42:44,130 - Exibe menu Success
INFO 2023-12-23 14:42:47,340 - Adicionar tarefas Success
INFO 2023-12-23 14:42:48,501 - Exibe menu Success
INFO 2023-12-23 14:42:49,523 - Adicionar tarefas Success
INFO 2023-12-23 14:42:50,301 - Exibe menu Success
INFO 2023-12-23 14:42:51,186 - Adicionar tarefas Success
INFO 2023-12-23 14:42:51,723 - Exibe menu Success
INFO 2023-12-23 14:42:52,995 - Exibir tarefas Success
INFO 2023-12-23 14:42:55,325 - Exibe menu Success
INFO 2023-12-23 14:42:57,076 - Exibir tarefas Success
INFO 2023-12-23 14:43:08,010 - Remover tarefa Success
INFO 2023-12-23 14:43:09,171 - Exibe menu Success
INFO 2023-12-23 14:43:11,409 - Exibir tarefas Success
INFO 2023-12-23 14:44:13,156 - Exibe menu Success
INFO 2023-12-23 14:45:33,253 - Exibe menu Success
INFO 2023-12-23 14:45:35,714 - Sair Success
INFO 2023-12-23 14:50:43,984 - Exibe menu           Success
INFO 2023-12-23 14:50:46,161 - Sair                 Success
INFO 2023-12-23 14:52:44,102 -           Exibe menu Success  
INFO 2023-12-23 14:52:45,585 -                 Sair Success  
INFO 2023-12-23 15:43:42,388 -           Exibe menu Success  
INFO 2023-12-23 15:44:26,089 -                 Sair Success  
INFO 2023-12-23 15:44:29,590 -           Exibe menu Success  
INFO 2023-12-23 15:44:52,626 -       Exibir tarefas Success  
INFO 2023-12-23 15:44:53,629 -           Exibe menu Success  
INFO 2023-12-23 15:45:08,248 -    Adicionar tarefas Success  
INFO 2023-12-23 15:45:09,819 -           Exibe menu Success  
INFO 2023-12-23 15:45:29,840 -    Adicionar tarefas Success  
INFO 2023-12-23 15:45:30,549 -           Exibe menu Success  
INFO 2023-12-23 15:45:31,888 -    Adicionar tarefas Success  
INFO 2023-12-23 15:45:32,477 -           Exibe menu Success  
INFO 2023-12-23 15:45:40,873 -       Exibir tarefas Success  
INFO 2023-12-23 15:45:49,891 -           Exibe menu Success  
INFO 2023-12-23 15:46:05,740 -     Finalizar tarefa Failed   
INFO 2023-12-23 15:46:07,316 -           Exibe menu Success  
INFO 2023-12-23 15:46:10,941 -       Iniciar tarefa Failed   
INFO 2023-12-23 15:46:12,075 -           Exibe menu Success  
INFO 2023-12-23 15:46:22,026 -       Iniciar tarefa Failed   
INFO 2023-12-23 15:46:26,755 -           Exibe menu Success  
INFO 2023-12-23 15:49:31,760 -                 Sair Success  
INFO 2023-12-23 15:51:13,987 - Exibe menu           Success  
INFO 2023-12-23 15:51:17,610 - Adicionar tarefas    Success  
INFO 2023-12-23 15:51:18,716 - Exibe menu           Success  
INFO 2023-12-23 15:51:20,071 - Adicionar tarefas    Success  
INFO 2023-12-23 15:51:20,709 - Exibe menu           Success  
INFO 2023-12-23 15:51:21,437 - Adicionar tarefas    Success  
INFO 2023-12-23 15:51:21,934 - Exibe menu           Success  
